Price,Make,Model,Prod. year,Category,Gear box type,Drive wheels,UHighway
11917,HONDA,Step Wagon,2005,Minivan,Automatic,4x4,35
11290,HYUNDAI,Santa FE,2018,Minivan,Automatic,4x4,35
11133,MERCEDES-BENZ,E 350,2011,Sedan,Automatic,Front,47
53031,NISSAN,X-Trail,2005,Jeep,Automatic,Front,47
15994,OPEL,Astra H,2009,Coupe,Automatic,Rear,32
28225,OPEL,Combo,2008,Sedan,Automatic,Rear,32
11917,TOYOTA,Camry,2013,Jeep,Automatic,4x4,41
11500,DODGE,Caliber,2010,Jeep,Automatic,4x4,41
10976,FIAT,500,2015,Coupe,Manual,Front,43
11917,FORD,Escape,2011,Goods wagon,Manual,Front,43
10976,FORD,Focus,2015,Sedan,Manual,Front,36
103491,FORD,Transit Connect,2009,Goods wagon,Manual,Front,36
32302,FORD,Transit Connect,2012,Sedan,Automatic,Front,36
23521,FORD,Transit,1995,Sedan,Automatic,Front,36
13799,FORD,Transit,1996,Universal,Automatic,Front,39
14113,FORD,Transit,1997,Hatchback,Automatic,Front,32.0513
16621,FORD,Transit,1998,Jeep,Automatic,4x4,36
13172,FORD,Transit,1999,Hatchback,Automatic,Front,31
10500,FORD,Transit,2000,Goods wagon,Manual,Front,33.3333
15681,FORD,Transit,2001,Goods wagon,Manual,Front,28
10349,FORD,Transit,2002,Microbus,Manual,Rear,28
23521,FORD,Transit,2004,Microbus,Manual,Rear,23
10976,FORD,Transit,2005,Microbus,Manual,Rear,39.7436
10976,FORD,Transit,2007,Microbus,Manual,Front,33
10976,FORD,Transit,2008,Universal,Manual,Rear,23
12544,FORD,Transit,2011,Microbus,Manual,Rear,37
14113,HONDA,Elysion,2011,Goods wagon,Manual,Rear,35
12800,HONDA,Insight,2010,Microbus,Manual,Front,38
15053,HYUNDAI,Elantra,2014,Microbus,Manual,Rear,35
20000,HYUNDAI,Veloster,2013,Microbus,Manual,Rear,32
15681,MERCEDES-BENZ,S 550,2016,Goods wagon,Manual,Front,32
16621,MERCEDES-BENZ,Sprinter,2001,Microbus,Manual,Rear,32
15681,MERCEDES-BENZ,Sprinter,2002,Microbus,Manual,Rear,32
15991,MERCEDES-BENZ,Sprinter,2004,Microbus,Manual,Front,37
15681,MERCEDES-BENZ,Sprinter,2005,Microbus,Manual,Rear,35
16308,MERCEDES-BENZ,Sprinter,2006,Microbus,Manual,Front,38
17876,MERCEDES-BENZ,Sprinter,2008,Microbus,Manual,Rear,33
25716,MERCEDES-BENZ,Vito,2005,Goods wagon,Manual,Rear,34
15681,MERCEDES-BENZ,Vito,2008,Minivan,Automatic,Front,33.3333
13799,TOYOTA,Land Cruiser,2008,Hatchback,Automatic,Front,26
25591,TOYOTA,Prius C,2014,Sedan,Automatic,Front,26
11917,TOYOTA,Prius,2007,Coupe,Automatic,Front,32
72758,TOYOTA,RAV 4,2001,Coupe,Automatic,4x4,33
19444,BMW,330,2001,Microbus,Manual,Rear,15
14113,CHEVROLET,Cruze,2015,Microbus,Manual,Rear,34
26657,FORD,Escape,2007,Microbus,Manual,Rear,36
20385,FORD,Transit,2003,Microbus,Manual,Rear,33.3333
21953,HONDA,Civic,2008,Microbus,Manual,Rear,34
45473,HYUNDAI,Accent,2015,Microbus,Manual,Rear,36
12544,HYUNDAI,Elantra,2015,Minivan,Manual,Rear,41
17000,HYUNDAI,Sonata,2012,Minivan,Manual,Rear,34
51746,MERCEDES-BENZ,Sprinter,1998,Jeep,Automatic,4x4,37
17562,MERCEDES-BENZ,Sprinter,2010,Hatchback,Automatic,Front,38
10663,MERCEDES-BENZ,Vito,2004,Hatchback,Automatic,Front,33.3333
10820,MITSUBISHI,Pajero IO,2001,Jeep,Automatic,4x4,15
10036,MITSUBISHI,Pajero,1997,Coupe,Manual,Rear,35
11604,NISSAN,Pathfinder,2006,Sedan,Manual,Rear,35
17249,OPEL,Astra,2008,Sedan,Automatic,Front,29
19444,TOYOTA,Prius C,2012,Sedan,Automatic,Front,29
14900,CHEVROLET,Cruze,2012,Jeep,Automatic,4x4,30.7692
11917,CHEVROLET,Cruze,2013,Jeep,Automatic,4x4,30.7692
11604,CHEVROLET,Cruze,2016,Microbus,Manual,Rear,34
11604,CHEVROLET,Volt,2011,Microbus,Manual,Rear,34
12544,CHEVROLET,Volt,2012,Microbus,Manual,Front,28
13172,CHEVROLET,Volt,2013,Goods wagon,Manual,Front,28
18817,CHEVROLET,Volt,2014,Minivan,Manual,Front,38
12544,FIAT,500 Abarth,2013,Coupe,Automatic,Front,33.3333
11917,FIAT,500,2012,Sedan,Automatic,Front,33.3333
17249,FORD,C-MAX,2013,Sedan,Automatic,Front,38
16289,FORD,C-MAX,2014,Sedan,Automatic,Front,38
28830,FORD,C-MAX,2015,Sedan,Automatic,Front,39.7436
19757,FORD,Fiesta,2013,Sedan,Automatic,Front,39.7436
22894,FORD,Fiesta,2014,Sedan,Automatic,Front,32
17249,FORD,Focus,2013,Sedan,Automatic,Front,32
20385,FORD,Fusion,2014,Microbus,Manual,Rear,30.7692
15500,FORD,Fusion,2016,Microbus,Manual,Rear,30.7692
16308,HONDA,Civic,2013,Microbus,Manual,Rear,33
11604,HONDA,Elysion,2006,Microbus,Manual,Rear,33
36065,HONDA,FIT,2012,Microbus,Manual,Rear,34
37633,HONDA,FIT,2013,Microbus,Manual,Rear,36
42000,HONDA,FIT,2014,Microbus,Manual,Rear,33
37633,HONDA,FIT,2017,Microbus,Manual,Rear,33
26343,HONDA,FIT,2018,Minivan,Manual,Rear,35
13172,HONDA,FIT,2019,Minivan,Manual,Rear,35
10036,HONDA,Insight,2012,Jeep,Automatic,4x4,36
10000,HYUNDAI,Elantra,2013,Jeep,Automatic,4x4,36
15681,HYUNDAI,Elantra,2017,Jeep,Automatic,4x4,41
17249,HYUNDAI,I30,2008,Jeep,Automatic,4x4,41
21326,HYUNDAI,I30,2009,Jeep,Manual,4x4,37
28852,HYUNDAI,I30,2012,Jeep,Manual,4x4,37
11917,HYUNDAI,Santa FE,2017,Goods wagon,Manual,Front,38
18189,HYUNDAI,Sonata,2011,Coupe,Manual,Front,38
19757,HYUNDAI,Sonata,2017,Sedan,Automatic,Front,34
13485,KIA,Ceed,2008,Hatchback,Automatic,Front,34
14113,KIA,Cerato,2014,Sedan,Automatic,Front,20
14740,KIA,Optima,2011,Sedan,Automatic,Front,18
12541,KIA,Optima,2015,Sedan,Automatic,Front,23
22894,KIA,Optima,2017,Hatchback,Automatic,Front,36
24462,KIA,RIO lx,2014,Sedan,Automatic,Front,38
19130,MAZDA,Mazda 6,2014,Hatchback,Automatic,Front,31
27284,MITSUBISHI,Delica,2004,Hatchback,Automatic,Front,31
19130,NISSAN,Juke,2012,Coupe,Manual,Front,37
14113,NISSAN,Juke,2013,Sedan,Manual,Front,39
12544,NISSAN,Tiida,2005,Sedan,Automatic,Front,31
16000,NISSAN,X-Trail,2004,Hatchback,Automatic,Front,35
16151,OPEL,Astra H,2007,Hatchback,Automatic,Front,36
12544,OPEL,Astra H,2008,Hatchback,Automatic,Front,38
10663,OPEL,Astra,2007,Hatchback,Automatic,Front,38
26971,OPEL,Astra,2009,Sedan,Manual,Front,24
20385,SUBARU,Forester,2018,Sedan,Automatic,Front,30
28225,TOYOTA,Aqua,2012,Sedan,Automatic,Front,35
19444,TOYOTA,Aqua,2013,Microbus,Manual,Rear,32
36235,TOYOTA,Aqua,2014,Sedan,Automatic,Front,36
17249,TOYOTA,Aqua,2015,Minivan,Automatic,Front,35
12231,TOYOTA,Aqua,2016,Hatchback,Automatic,Front,35
16900,TOYOTA,Aqua,2017,Hatchback,Automatic,Front,32
11726,TOYOTA,Aqua,2018,Hatchback,Automatic,Front,32
38822,TOYOTA,Aqua,2019,Universal,Automatic,Front,32
22291,TOYOTA,Camry,2006,Hatchback,Automatic,Front,33
27284,TOYOTA,Camry,2007,Hatchback,Automatic,Front,19
10000,TOYOTA,Camry,2008,Hatchback,Automatic,Front,33
11917,TOYOTA,Camry,2009,Sedan,Automatic,Front,32
28909,TOYOTA,Camry,2010,Sedan,Automatic,Front,36
11917,TOYOTA,Camry,2015,Hatchback,Manual,Front,33.3333
10976,TOYOTA,Corolla,2006,Sedan,Automatic,Front,33.3333
11917,TOYOTA,Corolla,2007,Hatchback,Automatic,Front,33.3333
55390,TOYOTA,Highlander,2011,Jeep,Automatic,Front,36
15257,TOYOTA,Highlander,2012,Sedan,Automatic,Front,33.3333
18503,TOYOTA,Highlander,2014,Sedan,Automatic,Front,36
51225,TOYOTA,Land Cruiser Prado,2018,Sedan,Automatic,Front,33.3333
11604,TOYOTA,Prius C,2015,Goods wagon,Manual,Front,16.6667
21326,TOYOTA,Prius,2005,Sedan,Automatic,Front,33
12074,TOYOTA,Prius,2008,Sedan,Automatic,Front,33
13172,TOYOTA,Prius,2009,Sedan,Automatic,Front,33
26657,TOYOTA,Prius,2010,Sedan,Automatic,Front,33
16308,TOYOTA,Prius,2011,Hatchback,Automatic,Front,30
14113,TOYOTA,Prius,2012,Sedan,Automatic,Front,24.359
21953,TOYOTA,Prius,2013,Minivan,Manual,Front,23
22266,TOYOTA,Prius,2014,Jeep,Automatic,4x4,22
19444,TOYOTA,Prius,2015,Jeep,Automatic,4x4,36
21326,TOYOTA,Prius,2016,Jeep,Automatic,Front,35
21326,TOYOTA,Prius,2017,Jeep,Automatic,Front,22
13485,TOYOTA,RAV 4,2015,Jeep,Automatic,4x4,35
10349,TOYOTA,RAV 4,2016,Sedan,Automatic,Front,32
10976,TOYOTA,RAV 4,2018,Jeep,Automatic,Front,36
11604,TOYOTA,RAV 4,2019,Goods wagon,Manual,Front,18
12544,TOYOTA,Sienna,2017,Hatchback,Manual,Front,32
13799,VOLKSWAGEN,Jetta,2012,Sedan,Manual,Front,33
12231,AUDI,Q3,2016,Hatchback,Manual,Front,35
30107,AUDI,Q7,2017,Jeep,Automatic,4x4,28
12544,BMW,325,2000,Hatchback,Automatic,Front,32
21285,BMW,335,2007,Hatchback,Automatic,Front,24
10506,CHEVROLET,Aveo,2014,Sedan,Automatic,Front,39.7436
14009,CHEVROLET,Aveo,2015,Hatchback,Automatic,Front,36
40070,CHEVROLET,Aveo,2016,Hatchback,Automatic,Front,26
54048,CHEVROLET,Cruze LT,2017,Universal,Automatic,Front,42.3077
57030,CHEVROLET,Cruze,2017,Hatchback,Automatic,Front,46.1538
28532,CHEVROLET,Silverado,2018,Hatchback,Automatic,Front,34
15681,CHEVROLET,Spark,2016,Sedan,Automatic,Front,36
17000,CHEVROLET,Spark,2017,Sedan,Automatic,Front,42.3077
16621,DODGE,Caliber,2011,Sedan,Automatic,Front,46.1538
18817,FIAT,500,2013,Sedan,Automatic,Front,45
15524,FORD,Explorer,2016,Sedan,Automatic,Front,23
39201,FORD,Fiesta,2015,Sedan,Automatic,Front,42
12231,FORD,Fiesta,2016,Sedan,Manual,Front,47
14740,FORD,Fiesta,2017,Sedan,Manual,Front,44.8718
21639,FORD,Focus,2014,Sedan,Automatic,4x4,37
23521,FORD,Focus,2016,Jeep,Automatic,4x4,39
39201,FORD,Focus,2017,Sedan,Automatic,4x4,34
131716,FORD,Mustang,2015,Jeep,Automatic,4x4,34
17562,FORD,Transit,2006,Sedan,Automatic,Front,29
14113,FORD,Transit,2010,Sedan,Automatic,Front,33
11917,FORD,Transit,2012,Sedan,Automatic,Front,39
16935,HONDA,Civic,2014,Hatchback,Automatic,Front,17
14113,HONDA,Civic,2015,Hatchback,Automatic,Front,42
17249,HONDA,Civic,2016,Sedan,Automatic,Front,42.3077
14740,HONDA,Civic,2017,Hatchback,Automatic,Front,37
20698,HONDA,Civic,2018,Sedan,Automatic,Front,33
24148,HONDA,Civic,2019,Hatchback,Automatic,Front,37
22580,HONDA,FIT,2010,Sedan,Automatic,Front,32
22266,HONDA,FIT,2015,Hatchback,Automatic,Front,36
12544,HONDA,FIT,2016,Sedan,Automatic,Front,33
26657,HONDA,Insight,2009,Sedan,Automatic,Front,37
46414,HONDA,Insight,2013,Jeep,Manual,4x4,15
28225,HYUNDAI,Accent,2011,Jeep,Automatic,Front,22
54882,HYUNDAI,Accent,2012,Jeep,Automatic,4x4,33.3333
13328,HYUNDAI,Accent,2014,Sedan,Automatic,4x4,31
27911,HYUNDAI,Genesis,2009,Sedan,Automatic,Front,36
47042,HYUNDAI,Genesis,2010,Jeep,Automatic,4x4,38
11133,HYUNDAI,Genesis,2011,Sedan,Automatic,Front,35
12231,HYUNDAI,Genesis,2012,Sedan,Automatic,Front,38
16308,HYUNDAI,Genesis,2015,Jeep,Automatic,4x4,35
13328,HYUNDAI,Genesis,2016,Jeep,Automatic,4x4,30
10349,HYUNDAI,H1,2008,Hatchback,Manual,Rear,33.3333
26657,HYUNDAI,H1,2009,Sedan,Manual,Rear,31
17346,HYUNDAI,H1,2010,Hatchback,Automatic,Front,22
24273,HYUNDAI,H1,2011,Hatchback,Automatic,Front,35.8974
27174,HYUNDAI,H1,2012,Sedan,Automatic,Front,36
14583,HYUNDAI,H1,2013,Hatchback,Automatic,Front,32
18817,HYUNDAI,H1,2014,Hatchback,Automatic,Front,37
28539,HYUNDAI,H1,2015,Jeep,Automatic,Front,33
11604,HYUNDAI,H1,2016,Sedan,Automatic,Front,33.3333
13172,HYUNDAI,H1,2017,Sedan,Automatic,Front,30
10976,HYUNDAI,H1,2019,Universal,Automatic,Front,36
12858,HYUNDAI,Santa FE,2019,Coupe,Automatic,Front,39
11917,JEEP,Grand Cherokee,2013,Sedan,Manual,Front,37
79902,KIA,Picanto,2016,Jeep,Automatic,Front,30
16621,KIA,RIO,2013,Sedan,Automatic,Front,33
15677,KIA,RIO,2016,Sedan,Automatic,Front,37
15367,LEXUS,CT 200h,2011,Sedan,Automatic,Front,32
11604,LEXUS,CT 200h,2012,Hatchback,Automatic,Front,24
12544,LEXUS,CT 200h,2014,Sedan,Automatic,Front,32
14113,MERCEDES-BENZ,B 170,2007,Hatchback,Manual,Front,32
18189,MERCEDES-BENZ,CLS 550,2012,Hatchback,Manual,Front,31
19757,MERCEDES-BENZ,E 220,2007,Sedan,Automatic,Front,30
16308,MERCEDES-BENZ,GLA 250,2016,Sedan,Automatic,Front,33.3333
86142,MERCEDES-BENZ,Vito,2006,Cabriolet,Automatic,Front,31
10000,MERCEDES-BENZ,Vito,2007,Goods wagon,Manual,Front,37
19757,MERCEDES-BENZ,Vito,2009,Microbus,Manual,Rear,26.9231
15210,NISSAN,Juke,2014,Goods wagon,Manual,Front,36
25089,NISSAN,Versa,2012,Microbus,Manual,Rear,36
17249,OPEL,Zafira,2005,Microbus,Manual,Front,31
23834,RENAULT,Megane,2011,Microbus,Manual,Front,37
41538,SSANGYONG,Actyon,2010,Coupe,Automatic,Front,39
54157,SSANGYONG,Actyon,2011,Sedan,Automatic,Front,31
34889,SSANGYONG,Actyon,2016,Sedan,Automatic,Front,35
66482,SSANGYONG,Korando,2012,Coupe,Automatic,Front,32.0513
38213,SSANGYONG,Korando,2013,Sedan,Automatic,Front,35
74796,SSANGYONG,Korando,2015,Hatchback,Automatic,Front,30
14115,SUBARU,XV,2014,Hatchback,Automatic,Front,17
34102,SUBARU,XV,2015,Hatchback,Automatic,Front,35
22197,TOYOTA,Highlander,2008,Hatchback,Automatic,Front,32
10976,TOYOTA,Hilux,2012,Hatchback,Automatic,Front,32
12544,TOYOTA,Prius C,2013,Hatchback,Automatic,Front,32
12074,TOYOTA,Prius V,2012,Sedan,Automatic,Front,32
13877,TOYOTA,Prius V,2013,Sedan,Automatic,Front,33.3333
15624,TOYOTA,Prius V,2014,Sedan,Automatic,Front,35
15458,TOYOTA,Prius,2006,Coupe,Automatic,Front,32
16621,TOYOTA,Prius,2018,Coupe,Automatic,Front,29
15624,TOYOTA,Vitz,2006,Coupe,Automatic,Front,30.7692
17249,VOLKSWAGEN,Caddy,2004,Sedan,Automatic,Front,33
46207,AUDI,Q7,2013,Sedan,Automatic,Front,33
49143,BMW,328,2014,Coupe,Automatic,Front,35
13328,BMW,530,2004,Minivan,Automatic,Front,29
13642,BMW,535,2014,Minivan,Automatic,Front,29
14081,BMW,X5,2001,Minivan,Automatic,Front,31
22894,BMW,X5,2008,Minivan,Automatic,Front,33.3333
21395,BMW,X5,2011,Universal,Automatic,Front,35
22433,BMW,X5,2012,Minivan,Automatic,Front,32
34657,BMW,X5,2013,Minivan,Automatic,Front,29
30063,BMW,X5,2015,Universal,Automatic,Front,31
45734,BMW,X5,2017,Universal,Automatic,Front,33
43952,CHEVROLET,Captiva,2011,Universal,Automatic,Front,30.7692
80911,CHEVROLET,Cruze,2011,Minivan,Automatic,Front,31
131308,CHEVROLET,Cruze,2014,Jeep,Automatic,Front,30
47757,CHEVROLET,Lacetti,2009,Jeep,Automatic,Front,30
12858,CHEVROLET,Lacetti,2010,Hatchback,Manual,Front,29
12544,CHEVROLET,Malibu,2014,Sedan,Automatic,Front,31
18817,CHEVROLET,Malibu,2015,Hatchback,Manual,Front,27
28539,CHEVROLET,Orlando,2012,Hatchback,Automatic,Front,28
21326,CHEVROLET,Orlando,2015,Hatchback,Automatic,Front,27
10349,CHEVROLET,Orlando,2016,Hatchback,Automatic,Front,36
13485,CHEVROLET,Orlando,2017,Hatchback,Automatic,Front,24
56450,CHEVROLET,Orlando,2018,Coupe,Automatic,4x4,24.359
20698,FORD,C-MAX,2016,Universal,Automatic,Rear,24
39201,FORD,Escape,2009,Hatchback,Automatic,4x4,24
51746,FORD,Fusion,2009,Minivan,Manual,Rear,16
21012,FORD,Fusion,2010,Minivan,Manual,Rear,27
21500,FORD,Fusion,2011,Goods wagon,Manual,Rear,27
16621,FORD,Fusion,2012,Sedan,Automatic,Front,23
11290,FORD,Fusion,2013,Sedan,Automatic,Front,27
11917,FORD,Fusion,2015,Universal,Automatic,Front,24.359
17876,FORD,Fusion,2017,Universal,Manual,Front,23.0769
18826,FORD,Taurus,2014,Jeep,Automatic,Front,22
20883,HONDA,Cr-v,2002,Jeep,Automatic,Front,35
40340,HONDA,FIT,2011,Jeep,Automatic,Front,25
24415,HONDA,Fred,2019,Jeep,Automatic,Front,28
25591,HONDA,Insight,2014,Jeep,Automatic,Front,23
23533,HONDA,Odyssey,2006,Jeep,Automatic,Front,22
15681,HYUNDAI,Accent,2016,Sedan,Automatic,4x4,25
19444,HYUNDAI,Elantra,2007,Jeep,Automatic,4x4,26.9231
29793,HYUNDAI,Elantra,2008,Jeep,Automatic,4x4,24
54882,HYUNDAI,Elantra,2016,Pickup,Manual,4x4,21.7949
18817,HYUNDAI,Elantra,2018,Hatchback,Automatic,Front,22
17876,HYUNDAI,Grandeur,2012,Hatchback,Automatic,Front,19
14426,HYUNDAI,Grandeur,2014,Hatchback,Automatic,Front,21.7949
19444,HYUNDAI,Grandeur,2016,Sedan,Automatic,Front,22
10349,HYUNDAI,H1,2018,Hatchback,Automatic,Front,21.7949
13485,HYUNDAI,I30,2011,Sedan,Automatic,Front,21.7949
21330,HYUNDAI,I30,2014,Hatchback,Automatic,Front,28.2051
40769,HYUNDAI,Santa FE,2014,Hatchback,Automatic,Front,19
11604,HYUNDAI,Santa FE,2020,Sedan,Automatic,Front,28
12231,HYUNDAI,Sonata,2013,Universal,Manual,Front,28.2051
24775,HYUNDAI,Sonata,2014,Jeep,Automatic,4x4,25
18189,HYUNDAI,Sonata,2015,Sedan,Automatic,Rear,26
16308,HYUNDAI,Sonata,2016,Sedan,Automatic,Rear,25
13485,HYUNDAI,Sonata,2018,Sedan,Automatic,4x4,23
11447,HYUNDAI,Sonata,2020,Jeep,Automatic,4x4,25
40769,HYUNDAI,Tucson,2014,Jeep,Automatic,4x4,24.359
10036,HYUNDAI,Tucson,2017,Jeep,Automatic,4x4,30
12388,HYUNDAI,Tucson,2018,Jeep,Automatic,4x4,21
51746,HYUNDAI,Tucson,2019,Jeep,Automatic,4x4,24.359
15994,JAGUAR,XF,2010,Jeep,Automatic,4x4,21.7949
16935,JAGUAR,XF,2013,Jeep,Automatic,4x4,24.359
15800,JEEP,Grand Cherokee,2001,Jeep,Automatic,Front,23
12720,JEEP,Grand Cherokee,2011,Sedan,Automatic,Front,25
17923,JEEP,Grand Cherokee,2012,Sedan,Automatic,Front,24
10381,KIA,Cerato,2015,Sedan,Automatic,Front,21.7949
12570,KIA,Optima,2012,Sedan,Automatic,Front,24.359
26613,KIA,Optima,2013,Sedan,Automatic,Front,20
24302,KIA,Optima,2014,Sedan,Automatic,Front,32
16289,KIA,Optima,2016,Jeep,Automatic,Front,30.7692
16778,LEXUS,GX 470,2004,Jeep,Automatic,Front,35.8974
23994,LEXUS,HS 250h,2010,Jeep,Automatic,Front,30.7692
36197,LEXUS,LS 460,2010,Jeep,Automatic,Front,32.0513
47408,LINCOLN,Navigator,1998,Jeep,Automatic,Front,28
16465,MERCEDES-BENZ,C 230,2004,Hatchback,Automatic,Front,30.7692
20385,MERCEDES-BENZ,E 320,2003,Jeep,Automatic,Front,27
17249,MERCEDES-BENZ,E 350,2014,Sedan,Automatic,Front,28
14113,MERCEDES-BENZ,ML 320,1999,Sedan,Automatic,Front,27
15053,MERCEDES-BENZ,ML 350,2015,Sedan,Automatic,Front,41
25716,MITSUBISHI,Delica,2000,Sedan,Automatic,Front,24
22266,NISSAN,Presage,2004,Sedan,Automatic,Front,24
16935,NISSAN,X-Terra,2005,Sedan,Automatic,Front,24.359
18503,OPEL,Astra,2005,Sedan,Automatic,Front,24
15367,OPEL,Corsa,2008,Sedan,Automatic,4x4,24
13172,SSANGYONG,Actyon,2017,Jeep,Automatic,4x4,27
11917,SSANGYONG,Actyon,2018,Hatchback,Automatic,Front,27
21000,TOYOTA,Aqua s,2013,Minivan,Automatic,Front,23
18503,TOYOTA,Camry,2011,Hatchback,Automatic,Front,24
10976,TOYOTA,Camry,2012,Minivan,Automatic,Front,25
16891,TOYOTA,Camry,2014,Sedan,Automatic,Front,23.0769
12287,TOYOTA,Camry,2016,Sedan,Automatic,Front,22
10381,TOYOTA,Camry,2018,Sedan,Automatic,Front,32
28382,TOYOTA,Camry,2019,Sedan,Automatic,Front,33
36426,TOYOTA,CHR,2019,Sedan,Automatic,Front,33.3333
11917,TOYOTA,Corolla,2012,Sedan,Automatic,Front,31
14426,TOYOTA,Ipsum,2002,Sedan,Automatic,Front,30
23301,TOYOTA,Ipsum,2004,Sedan,Automatic,Front,32
68223,TOYOTA,Ist,2005,Universal,Automatic,Front,23.0769
11290,VOLKSWAGEN,Jetta,2013,Hatchback,Automatic,Front,35.8974
18211,VOLKSWAGEN,Jetta,2014,Hatchback,Automatic,Front,29
36065,ACURA,MDX,2012,Jeep,Automatic,Front,26
96915,ACURA,RDX,2014,Jeep,Automatic,Front,27
12777,ACURA,TLX,2015,Sedan,Automatic,Front,23.0769
11604,ALFA ROMEO,159,2005,Sedan,Automatic,Front,24
13485,AUDI,100,2016,Sedan,Automatic,Front,25
11290,AUDI,A3 4X4,2018,Sedan,Automatic,Front,23
73620,AUDI,A3,2011,Sedan,Automatic,Front,22
66485,AUDI,A4 premium,2010,Sedan,Automatic,Front,21.7949
30063,AUDI,A4,2006,Jeep,Automatic,Front,18
54518,AUDI,A4,2007,Jeep,Automatic,Front,19
55823,AUDI,A4,2010,Jeep,Automatic,Front,28
59865,AUDI,A4,2011,Jeep,Automatic,Front,23.0769
49143,AUDI,A4,2013,Sedan,Automatic,Front,23
50297,AUDI,A6 UNIVERSAL,2005,Sedan,Automatic,Front,24
11604,AUDI,A6,2011,Jeep,Automatic,4x4,23.0769
43134,AUDI,A6,2014,Jeep,Automatic,Front,22
50008,AUDI,A6,2017,Jeep,Automatic,Front,21.7949
20918,AUDI,A7 Prestige,2016,Sedan,Automatic,Front,21.7949
15681,AUDI,A7,2013,Sedan,Automatic,Front,19
17719,AUDI,A7,2014,Sedan,Automatic,Front,28
11133,AUDI,A8,2012,Sedan,Automatic,Front,26
20228,AUDI,A8,2014,Sedan,Automatic,Front,27
36065,AUDI,Allroad,2001,Jeep,Automatic,4x4,28
27284,AUDI,Q5,2010,Sedan,Automatic,Front,24
26425,AUDI,Q5,2013,Sedan,Automatic,Front,24.359
14740,AUDI,Q5,2014,Jeep,Automatic,4x4,23
12544,AUDI,Q5,2016,Sedan,Automatic,Rear,24.359
15053,AUDI,Q5,2017,Sedan,Automatic,Rear,22
14583,AUDI,Q7,2012,Sedan,Automatic,4x4,22
30734,AUDI,Q7,2014,Sedan,Automatic,4x4,26
32302,AUDI,Q7,2018,Sedan,Automatic,4x4,28
10976,AUDI,S3,2016,Jeep,Automatic,4x4,22
22894,AUDI,TT,2000,Jeep,Automatic,4x4,22
12544,BENTLEY,Mulsanne,2016,Minivan,Automatic,4x4,21
10000,BMW,114,2018,Minivan,Automatic,4x4,21
15367,BMW,"118 2,0",2008,Jeep,Manual,4x4,19
10976,BMW,118 M-sport LCI,2008,Jeep,Automatic,4x4,18
12544,BMW,118,2010,Hatchback,Manual,Front,21
10349,BMW,128 M tech,2013,Hatchback,Manual,Front,21
12858,BMW,130,2009,Minivan,Manual,Front,24.359
39161,BMW,318,2005,Jeep,Automatic,Front,18
41281,BMW,318,2006,Jeep,Automatic,Front,29
